id,dayNumber,durationMinutes,attenuationRiskValue,initialRiskLevel,totalRiskValue,api_level,android_version,brand,model,user_id,timestamp,contact_date
1447,18589,30,28,2,350,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/30/2020 6:01,11/23/2020 0:00
2734,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/1/2020 6:05,11/23/2020 0:00
2766,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/1/2020 6:06,11/23/2020 0:00
2798,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/1/2020 6:06,11/23/2020 0:00
2830,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/1/2020 6:14,11/23/2020 0:00
2862,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/1/2020 6:14,11/23/2020 0:00
2894,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/1/2020 6:14,11/23/2020 0:00
3361,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/1/2020 11:45,11/23/2020 0:00
3393,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/1/2020 11:45,11/23/2020 0:00
3425,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/1/2020 11:45,11/23/2020 0:00
3457,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/1/2020 11:45,11/23/2020 0:00
3489,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/1/2020 11:45,11/23/2020 0:00
3523,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/1/2020 11:46,11/23/2020 0:00
3555,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/1/2020 11:46,11/23/2020 0:00
3587,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/1/2020 11:46,11/23/2020 0:00
3619,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/1/2020 11:46,11/23/2020 0:00
3651,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/1/2020 11:46,11/23/2020 0:00
3775,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 1:03,11/23/2020 0:00
3807,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 1:03,11/23/2020 0:00
3840,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 1:03,11/23/2020 0:00
